Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,13,350,60,2,1.6900
3,,,15,430,55,3,1.4200
4,,,17,510,50,4,1.1500
5,,,19,540,48,5,1.1400
6,,,21,570,46,6,1.1300
7,,,23,600,44,7,1.1200
8,,,25,630,42,8,1.1100
9,,,27,660,40,9,1.1000
10,,,29,690,38,10,1.0900
11,,,31,720,36,11,1.0800
12,,,33,750,34,12,1.0700
13,,,35,780,32,13,1.0600
14,,,37,810,30,14,1.0500
15,,,39,840,28,15,1.0400
16,,,41,870,26,16,1.0300
17,,,43,900,24,17,1.0200
18,,,45,930,22,18,1.0100
19,,,47,960,20,19,1.0000
20,,,49,990,18,20,0.9900
